着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
9,2,3,ダノンカモン,牡8,56,三浦皇成,1:23.8,クビ,**,5-4,36.2,50.2,10,528(+4),,,,池江泰寿,ダノックス,,201405010211,西
10,8,15,アドマイヤサガス,牡6,56,池添謙一,1:23.9,クビ,**,5-4,36.3,63.5,12,522(+2),,,,橋田満,近藤利一,,201405010211,西
11,3,5,スノードラゴン,牡6,56,大野拓弥,1:24.1,1.1/2,**,13-12,35.8,15.7,7,510(-2),,,,高木登,岡田牧雄,,201405010211,東
12,8,16,セイクリムズン,牡8,57,北村宏司,1:24.1,クビ,**,8-8,36.3,43.7,9,514(0),,,,服部利之,金田成基,,201405010211,西
13,6,11,セレスハント,牡9,57,丸山元気,1:24.6,3,**,12-12,36.4,488.9,15,482(+4),,,,松永幹夫,岡浩二,,201405010211,西
14,1,1,エーシントップ,牡4,58,酒井学,1:24.8,1.1/2,**,4-4,37.2,14.3,6,530(-4),,,,西園正都,栄進堂,,201405010211,西
15,6,12,ティアップワイルド,牡8,57,石橋脩,1:25.0,1.1/4,**,8-9,37.0,516.3,16,534(0),,,,西浦勝一,田中昇,,201405010211,西
16,2,4,スリーボストン,牡7,56,北村友一,1:25.5,3,**,1-1,38.2,86.4,13,520(+2),,,,藤岡範士,永井商事,,201405010211,西
1,4,7,キタサンイナズマ,牡4,57,横山典弘,1:37.1,,**,1-1,36.2,5.1,2,498(+6),,,,昆貢,大野商事,"1,020.0",201405010212,西
2,7,14,カーティスバローズ,牡4,57,戸崎圭太,1:37.5,2.1/2,**,2-2,36.5,3.6,1,490(-6),,,,中竹和也,猪熊広次,410.0,201405010212,西
3,2,4,メイショウコンカー,牡5,57,池添謙一,1:37.6,3/4,**,7-6,36.3,5.5,3,458(+6),,,,藤原英昭,松本好雄,260.0,201405010212,西
4,6,12,ヴァンガード,牡5,57,ベリー,1:37.7,3/4,**,12-11,35.9,14.5,6,514(+8),,,,高柳瑞樹,Ｈ．Ｈ．シェイク・モハメド,150.0,201405010212,東
5,2,3,ヤマチョウフェア,牡6,57,田辺裕信,1:38.1,2.1/2,**,5-6,36.8,26.3,10,486(+10),,,,相沢郁,長谷川彰,102.0,201405010212,東
6,8,16,ダノンレジェンド,牡4,57,田中勝春,1:38.1,アタマ,**,12-11,36.3,7.3,4,452(+2),,,,村山明,ダノックス,,201405010212,西
7,3,5,リアライズナマステ,牡5,57,坂井英光,1:38.1,ハナ,**,3-3,36.9,92.7,12,468(+2),,,,森秀行,工藤圭司,,201405010212,西
8,1,2,シュガーヒル,牡5,57,北村宏司,1:38.6,3,**,9-9,37.0,22.1,9,490(+8),,,,国枝栄,金子真人ホールディングス,,201405010212,東
9,8,15,クロスボウ,牡4,57,吉田豊,1:38.6,クビ,**,10-9,37.0,16.6,7,512(+2),,,,大久保洋,サンデーレーシング,,201405010212,東
10,5,10,マイネルバウンス,牡5,57,丹内祐次,1:38.7,1/2,**,7-8,37.3,26.6,11,494(+2),,,,清水美波,サラブレッドクラブ・ラフィアン,,201405010212,東
11,4,8,スズカヴィグラス,牡5,57,蛯名正義,1:38.8,クビ,**,5-3,37.6,21.1,8,496(+4),,,,伊藤圭三,永井啓弍,,201405010212,東
12,1,1,ヤマタケディガー,牡8,57,丸山元気,1:38.8,クビ,**,16-14,36.6,245.1,16,466(+8),,,,根本康広,山中佳代,,201405010212,東
13,6,11,ディアグリスター,牡4,57,勝浦正樹,1:39.0,1.1/4,**,15-14,36.8,234.6,15,470(-14),,,,高橋裕,ディアレスト,,201405010212,東
14,5,9,モリトリュウコ,牡4,56,横山和生,1:39.1,クビ,**,12-13,37.2,113.1,13,474(+8),,,,水野貴広,石橋忠之,,201405010212,東
15,7,13,フロリダブルー,牡4,57,内田博幸,1:39.1,クビ,**,10-14,36.9,7.4,5,458(-4),,,,松山康久,クイーンズ・ランチ,,201405010212,東
16,3,6,コスモシャンハイ,牡5,57,松岡正海,1:39.2,クビ,**,4-3,38.0,185.8,14,508(+8),,,,尾関知人,ビッグレッドファーム,,201405010212,東
1,2,4,ラングレー,牡3,56,戸崎圭太,2:30.4,,**,5-5-6-7,33.8,3.1,1,474(+4),,,,矢作芳人,サンデーレーシング,"1,015.0",201405010310,西
2,5,9,ゴールドアクター,牡3,56,石橋脩,2:30.6,1,**,5-5-6-6,34.1,44.8,14,462(-18),,,,中川公成,居城要,400.0,201405010310,東
3,2,3,ダイワリベラル,牡3,56,後藤浩輝,2:30.6,クビ,**,2-2-2-2,34.4,12.7,4,518(-4),,,,菊沢隆徳,大城敬三,255.0,201405010310,東
4,8,16,ラハイナルナ,牡3,56,北村宏司,2:30.7,クビ,**,12-11-3-3,34.4,13.3,5,508(+2),,,,国枝栄,金子真人ホールディングス,150.0,201405010310,東
5,4,7,デルカイザー,牡3,56,ブノワ,2:30.8,3/4,**,10-11-12-14,33.8,35.3,11,482(+18),,,,藤沢和雄,山本英俊,98.0,201405010310,東
6,7,13,ダノンアンビシャス,牡3,56,横山典弘,2:30.8,ハナ,**,10-8-8-7,34.1,4.5,2,462(-2),,,,藤原英昭,ダノックス,,201405010310,西
7,1,1,マドリードカフェ,牡3,56,内田博幸,2:30.8,クビ,**,4-3-3-4,34.4,5.0,3,498(+2),,,,田村康仁,ＨｉｍＲｏｃｋＲａｃｉｎｇ,,201405010310,東
