着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
13,6,11,マイネルホウオウ,牡5,56,石橋脩,1:34.0,1,**,6-4-4,35.0,100.0,15,522(+16),,,,畠山吉宏,サラブレッドクラブ・ラフィアン,,201506040211,東
14,2,4,ケイティープライド,牡5,53,三浦皇成,1:34.0,クビ,**,1-1-2,35.3,17.4,9,478(-2),,,,角田晃一,Ｇ１レーシング,,201506040211,西
15,2,3,スマートオリオン,牡5,57.5,内田博幸,1:34.1,1/2,**,3-4-4,35.1,12.5,6,502(-6),,,,鹿戸雄一,大川徹,,201506040211,東
16,5,9,レッドアリオン,牡5,58,川須栄彦,1:34.2,1/2,**,3-4-4,35.3,7.1,4,478(-2),,,,橋口弘次,東京ホースレーシング,,201506040211,西
1,1,1,プロファウンド,牡4,54,井上敏樹,1:11.4,,**,2-1,37.1,10.4,6,504(+2),,,,伊藤圭三,Ｈ．Ｈ．シェイク・モハメド,750.0,201506040212,東
2,2,4,メイショウカノン,牡4,57,蛯名正義,1:11.6,1.1/2,**,11-7,36.4,4.4,2,474(+4),,,,小島太,松本好隆,300.0,201506040212,東
3,2,3,ロトラトゥール,牝4,55,横山和生,1:11.8,1.1/4,**,5-3,36.9,3.7,1,490(-6),,,,藤原辰雄,國武佳博,190.0,201506040212,東
4,8,16,アンジェリー,牝3,53,柴田善臣,1:12.4,3.1/2,**,4-5,37.7,21.1,8,450(-10),,,,宗像義忠,佐藤壽男,110.0,201506040212,東
5,3,5,カイマノア,牡3,55,北村宏司,1:12.5,3/4,**,10-11,37.4,9.0,5,478(-2),,,,栗田徹,山口功一郎,75.0,201506040212,東
6,7,13,ランバイワイルド,牡3,55,松岡正海,1:12.5,クビ,**,11-11,37.3,24.7,9,450(+6),,,,池上昌弘,佐藤力治,,201506040212,東
7,7,14,セイウンアワード,牡3,55,内田博幸,1:12.7,1,**,5-7,37.8,6.3,3,524(+10),,,,杉浦宏昭,西山茂行,,201506040212,東
8,6,12,トップアドバンス,牡4,57,宮崎北斗,1:12.7,ハナ,**,15-15,37.0,56.6,13,462(-4),,,,勢司和浩,柳内正基,,201506040212,東
9,3,6,タイセイアニマート,牡3,55,田辺裕信,1:12.9,1.1/2,**,5-5,38.0,27.4,10,468(0),,,,斎藤誠,田中成奉,,201506040212,東
10,1,2,キービスケット,牝4,55,吉田豊,1:13.0,クビ,**,13-14,37.6,106.5,15,492(-4),,,,高橋文雅,北前孔一郎,,201506040212,東
11,5,9,ハツコイ,牝4,55,嘉藤貴行,1:13.2,1.1/4,**,13-11,37.8,52.6,12,436(-6),,,,星野忍,内田玄祥,,201506040212,東
12,4,8,パラダイスガーデン,牝3,53,柴田大知,1:13.2,アタマ,**,3-3,38.6,8.4,4,470(+8),,,,栗田博憲,岡田牧雄,,201506040212,東
13,6,11,ピュアリーソリッド,牝3,50,伴啓太,1:13.3,1/2,**,1-2,39.0,15.8,7,460(+18),,,,高橋祥泰,南波壽,,201506040212,東
14,5,10,スズカプリティー,牝4,55,二本柳壮,1:13.5,1,**,16-16,37.0,150.9,16,466(+14),,,,柄崎孝,永井啓弍,,201506040212,東
15,8,15,シゲルウシュウ,牡4,57,津村明秀,1:13.6,1/2,**,5-9,38.6,73.6,14,462(-8),,,,水野貴広,森中蕃,,201506040212,東
16,4,7,バルブランシュ,牡3,55,柴山雄一,1:14.2,3.1/2,**,5-9,39.3,44.1,11,494(-10),,,,木村哲也,サンデーレーシング,,201506040212,東
1,4,5,ファイヤーロック,牡4,56,蛯名正義,2:33.6,,**,6-6-3-3,37.8,5.6,2,468(-2),,,,村山明,金子真人ホールディングス,"1,528.7",201506040310,西
2,5,6,ティーポイズン,牡4,54,内田博幸,2:33.6,ハナ,**,2-2-2-2,38.0,9.9,7,500(-8),,,,五十嵐忠,深見富朗,608.2,201506040310,西
3,3,3,シップウ,セ4,54,吉田隼人,2:33.7,3/4,**,7-7-7-5,37.6,24.4,10,490(+8),,,,伊藤正徳,ヒダカ・ブリーダーズ・ユニオン,384.1,201506040310,東
4,2,2,リアライズブラザー,牡5,54,戸崎圭太,2:33.9,1,**,4-3-3-4,38.1,8.8,6,484(-2),,,,森秀行,工藤圭司,230.0,201506040310,西
5,4,4,ヴィルトグラーフ,セ5,53,江田照男,2:34.3,2.1/2,**,1-1-1-1,38.8,86.7,12,532(0),,,,牧光二,シルクレーシング,150.0,201506040310,東
6,7,11,ロゼッタストーン,牡6,53,黛弘人,2:34.6,1.3/4,**,8-8-7-8,38.5,40.5,11,466(-6),,,,矢作芳人,太田珠々子,,201506040310,西
7,7,10,タンジブル,牡3,54,柴山雄一,2:34.9,2,**,13-13-7-5,38.7,5.8,3,492(+6),,,,黒岩陽一,Ｈ．Ｈ．シェイク・モハメド,,201506040310,東
8,8,12,ドラゴンズタイム,牡4,54,吉田豊,2:35.0,クビ,**,11-11-11-9,38.6,7.6,5,430(-2),,,,高橋文雅,窪田康志,,201506040310,東
9,8,13,ヤマカツポセイドン,牡6,55,石川裕紀,2:35.1,3/4,**,10-10-11-13,38.7,7.1,4,460(+4),,,,大根田裕,山田和夫,,201506040310,西
10,6,8,シークレットパス,牡4,54,田辺裕信,2:36.0,5,**,8-8-11-9,39.7,14.1,9,460(+6),,,,尾形和幸,岡田牧雄,,201506040310,東
11,5,7,ヒデノインペリアル,牡3,53,北村宏司,2:36.4,2.1/2,**,11-11-5-5,40.4,5.4,1,494(-4),,,,梅田智之,大石秀夫,,201506040310,西
12,6,9,マルマロス,牡5,54,三浦皇成,2:36.9,3,**,3-3-5-9,41.0,12.7,8,516(-4),,,,新開幸一,ディアレスト,,201506040310,東
13,1,1,グレートヴァリュー,牡7,53,柴田善臣,2:36.9,クビ,**,5-5-7-9,40.8,118.6,13,450(-8),,,,北出成人,小林竜太郎,,201506040310,西
1,7,8,ライズトゥフェイム,牡5,57,石川裕紀,2:01.0,,**,8-10-9-10,35.2,6.6,2,480(-4),,,,加藤征弘,シルクレーシング,"1,843.8",201506040311,東
2,1,1,レッドセシリア,牝5,55,三浦皇成,2:01.2,1.1/2,**,4-5-5-5,35.6,7.3,3,438(0),,,,鹿戸雄一,東京ホースレーシング,736.8,201506040311,東
3,8,11,マイネルジェイド,牡5,57,戸崎圭太,2:01.2,アタマ,**,6-7-5-8,35.6,34.8,9,458(+2),,,,和田正道,サラブレッドクラブ・ラフィアン,463.4,201506040311,東
4,3,3,ダイワリベラル,牡4,57,横山典弘,2:01.3,クビ,**,2-2-3-2,35.9,2.3,1,512(0),,,,菊沢隆徳,大城敬三,270.0,201506040311,東
5,7,9,カムフィー,牡6,57,柴田善臣,2:01.5,1.1/2,**,8-7-5-5,36.0,8.2,5,468(+8),,,,池上昌和,清水二朗,182.0,201506040311,東
6,6,7,サクラボールド,牡8,57,蛯名正義,2:01.6,1/2,**,11-11-9-8,35.8,11.7,6,478(+4),,,,菊沢隆徳,さくらコマース,,201506040311,東
7,4,4,マイネルマーク,牡7,57,柴田大知,2:01.8,1.1/2,**,8-7-9-11,35.9,60.8,11,474(-2),,,,高橋祥泰,サラブレッドクラブ・ラフィアン,,201506040311,東
8,8,10,オメガキングティー,牡5,57,北村宏司,2:01.9,1/2,**,4-6-5-5,36.3,7.6,4,474(+2),,,,斎藤誠,原禮子,,201506040311,東
9,5,5,ダノンフェニックス,牡7,57,吉田隼人,2:02.0,クビ,**,3-3-3-2,36.6,14.3,8,454(-6),,,,角居勝彦,ダノックス,,201506040311,西
10,6,6,ジャーエスペランサ,牡6,57,吉田豊,2:02.2,1,**,1-1-1-1,37.2,13.1,7,474(-2),,,,相沢郁,本間茂,,201506040311,東
11,2,2,ロジサンデー,牡6,57,松岡正海,2:02.6,2.1/2,**,6-4-2-2,37.5,52.7,10,480(+6),,,,古賀慎明,久米田正明,,201506040311,東
1,5,9,スノーレパード,牝4,55,田辺裕信,1:11.0,,**,8-9,36.5,6.0,3,468(+8),,,,黒岩陽一,Ｈ．Ｈ．シェイク・モハメド,750.0,201506040312,東
2,1,1,オーゴンマリア,牝3,53,大野拓弥,1:11.2,1.1/4,**,4-4,37.1,9.1,4,442(-10),,,,高木登,永田さなえ,300.0,201506040312,東
3,5,10,レディーピンク,牝5,55,武士沢友,1:11.4,1.1/4,**,2-2,37.5,11.0,5,462(+2),,,,伊藤正徳,小林博雄,190.0,201506040312,東
4,7,13,サンクタリリアス,牝3,53,津村明秀,1:11.6,1.1/4,**,5-4,37.4,51.3,12,476(+16),,,,田中清隆,ミルファーム,110.0,201506040312,東
5,4,8,プラントアゲン,牝3,53,柴田大知,1:11.6,ハナ,**,8-7,37.1,4.6,2,444(-6),,,,加藤和宏,浅川皓司,75.0,201506040312,東
6,2,4,ジャスティシア,牝6,55,吉田隼人,1:11.7,1/2,**,11-10,37.0,29.6,9,456(-2),,,,岩戸孝樹,ターフ・スポート,,201506040312,東
7,3,5,フレックスハート,牝5,55,北村宏司,1:11.8,クビ,**,13-12,36.8,18.2,7,478(-6),,,,木村哲也,保坂和孝,,201506040312,東
8,8,16,ハルコマチ,牝5,55,西田雄一,1:11.8,アタマ,**,8-10,37.2,60.8,13,478(-8),,,,星野忍,高橋治夫,,201506040312,東
9,1,2,サクラフローラ,牝4,55,戸崎圭太,1:11.9,1/2,**,2-2,38.0,2.7,1,520(+2),,,,高柳瑞樹,さくらコマース,,201506040312,東
10,2,3,フローラルダンサー,牝3,53,吉田豊,1:12.3,2.1/2,**,6-7,38.0,17.9,6,512(+4),,,,田島俊明,岡田牧雄,,201506040312,東
11,8,15,ユキノマルガリータ,牝5,55,柴田善臣,1:12.3,アタマ,**,6-6,37.9,66.0,14,466(-8),,,,和田正道,井上基之,,201506040312,東
12,4,7,ダイワコンシード,牝4,55,田中勝春,1:12.3,ハナ,**,15-14,37.1,39.3,10,508(+10),,,,池上昌弘,大城敬三,,201506040312,東
13,6,11,デルマキャッツアイ,牝4,53,石川裕紀,1:12.5,1,**,11-12,37.8,20.8,8,498(0),,,,矢野英一,浅沼廣幸,,201506040312,東
14,7,14,テイア,牝3,53,江田照男,1:12.5,クビ,**,13-14,37.5,46.3,11,418(+14),,,,伊藤大士,ミルファーム,,201506040312,東
15,3,6,ガスター,牝4,55,二本柳壮,1:12.6,3/4,**,15-14,37.3,248.8,16,432(+2),,,,武市康男,渡邉啓高,,201506040312,東
16,6,12,ヘレン,牝4,55,丸田恭介,1:12.7,1/2,**,1-1,39.2,79.7,15,462(+8),,,,清水英克,石川一義,,201506040312,東
1,6,11,サザナミ,牝3,53,戸崎圭太,1:08.6,,**,4-5,34.4,3.8,2,400(-6),,,,堀宣行,グリーンファーム,"1,536.4",201506040410,東
2,7,14,カービングパス,牝3,53,北村宏司,1:08.8,1.1/4,**,8-10,34.3,2.4,1,472(+4),,,,藤沢和雄,サンデーレーシング,610.4,201506040410,東
3,3,6,エビスグレイト,牡5,57,田中勝春,1:08.8,クビ,**,13-13,34.0,9.7,4,488(0),,,,加藤征弘,加藤友三郎,385.2,201506040410,東
4,3,5,アスペンサミット,牝5,55,石川裕紀,1:08.8,ハナ,**,8-10,34.4,12.5,5,482(-2),,,,高橋文雅,吉田和美,230.0,201506040410,東
5,7,13,ロマネクイーン,牝5,55,石橋脩,1:08.9,クビ,**,2-2,35.0,183.3,15,468(0),,,,蛯名利弘,村田哲朗,150.0,201506040410,東
6,8,16,スーパーアース,牝5,55,江田照男,1:08.9,クビ,**,16-14,33.8,68.9,11,468(+4),,,,菊川正達,岡田牧雄,,201506040410,東
7,2,3,ダイワベスパー,牝6,55,三浦皇成,1:09.0,クビ,**,8-5,34.6,39.7,9,458(-2),,,,鹿戸雄一,大城敬三,,201506040410,東
8,1,1,クラウンカイザー,牡6,57,大野拓弥,1:09.2,1,**,1-1,35.4,18.5,7,490(+8),,,,大根田裕,クラウン,,201506040410,西
9,5,9,ファンデルワールス,セ6,57,田辺裕信,1:09.2,クビ,**,8-10,34.8,17.3,6,500(+2),,,,大和田成,社台レースホース,,201506040410,東
10,2,4,エクスクライム,牡6,57,木幡初也,1:09.3,クビ,**,14-14,34.3,166.8,14,446(-6),,,,牧浦充徳,前原敏行,,201506040410,西
10,4,8,フリーアズアバード,セ7,57,吉田隼人,1:09.3,同着,**,3-3,35.3,55.9,10,470(+2),,,,金成貴史,ヒダカ・ブリーダーズ・ユニオン,,201506040410,東
12,4,7,レヴァンタール,セ6,57,黛弘人,1:09.4,3/4,**,4-5,35.2,101.5,12,452(+6),,,,蛯名利弘,岡田牧雄,,201506040410,東
13,1,2,カディーシャ,牝6,55,津村明秀,1:09.5,クビ,**,4-3,35.4,118.4,13,422(+4),,,,武市康男,ヒダカ・ブリーダーズ・ユニオン,,201506040410,東
14,5,10,アルマエルナト,牡4,57,勝浦正樹,1:09.8,1.3/4,**,8-9,35.3,6.7,3,480(+2),,,,伊藤大士,コウトミックレーシング,,201506040410,東
15,6,12,ヒルノケアンズ,牝5,55,柴田善臣,1:09.8,クビ,**,4-5,35.6,19.2,8,474(+6),,,,北出成人,ヒルノ,,201506040410,西
16,8,15,オーガンディー,牝4,55,丸田恭介,1:10.0,1.1/4,**,14-16,35.0,254.1,16,432(-14),,,,和田雄二,栗坂崇,,201506040410,東
1,2,2,ストロングサウザー,牡4,56,田辺裕信,1:52.6,,**,2-2-2-2,37.4,6.8,3,470(+4),,,,久保田貴,村木篤,"2,121.0",201506040411,東
2,8,9,ツクバコガネオー,セ7,56,勝浦正樹,1:52.6,クビ,**,7-7-7-7,36.9,24.9,7,530(-4),,,,尾形充弘,荻原昭二,846.0,201506040411,東
3,3,3,ダブルスター,牡6,56,大野拓弥,1:52.8,1.1/2,**,3-3-3-3,37.5,5.2,2,512(+2),,,,伊藤圭三,グランド牧場,533.0,201506040411,東
4,4,4,アメリカンウィナー,牡6,56,柴田善臣,1:53.0,3/4,**,7-7-7-7,37.3,26.2,8,498(-4),,,,戸田博文,吉澤克己,320.0,201506040411,東
5,8,10,キクノソル,牡5,56,三浦皇成,1:53.1,3/4,**,5-5-4-3,37.6,1.9,1,516(+4),,,,北出成人,菊池五郎,210.0,201506040411,西
6,6,6,ベルサリエーレ,牡5,56,石川裕紀,1:53.1,ハナ,**,1-1-1-1,38.0,9.0,5,482(-10),,,,池江泰寿,藤田孟司,,201506040411,西
7,5,5,アーデント,牡6,57,戸崎圭太,1:53.2,1/2,**,5-5-4-5,37.8,7.1,4,478(0),,,,加藤征弘,キャロットファーム,,201506040411,東
8,1,1,メテオロロジスト,牡8,57,石橋脩,1:53.6,2.1/2,**,3-3-4-5,38.2,52.5,9,514(-10),,,,池江泰寿,金子真人ホールディングス,,201506040411,西
9,7,8,アドマイヤブルー,牡6,56,北村宏司,2:00.5,大,**,9-9-9-9,43.9,16.9,6,504(-22),,,,橋田満,近藤利一,,201506040411,西
取,7,7,フィールザスマート,牡4,56,田中勝春,,,**,,,---,,計不,,,,新開幸一,櫻井正,,201506040411,東
1,2,4,ビービーボイジャー,牡5,54,伴啓太,1:11.2,,**,2-2,37.1,4.5,2,498(-2),,,,高柳瑞樹,坂東牧場,750.0,201506040412,東
2,3,6,アサマ,牡3,55,戸崎圭太,1:11.5,2,**,5-5,37.1,8.8,6,478(-2),,,,小桧山悟,江川伸夫,300.0,201506040412,東
3,8,15,サウスキング,牡4,57,伊藤工真,1:11.7,3/4,**,5-5,37.3,3.4,1,480(-4),,,,久保田貴,南波壽,190.0,201506040412,東
4,6,12,マコトカンパネッロ,牝3,50,井上敏樹,1:11.7,クビ,**,7-7,37.2,17.0,7,440(+8),,,,岩戸孝樹,ディアマント,110.0,201506040412,東
5,2,3,トキノセレブ,牝4,55,平野優,1:11.8,クビ,**,1-1,37.8,59.6,11,472(-2),,,,竹内正洋,田中準市,75.0,201506040412,東
6,1,2,オーロラッシュ,牡3,55,柴田大知,1:12.0,1.1/4,**,11-10,36.8,8.7,5,444(+6),,,,土田稔,山口敦広,,201506040412,東
7,5,9,バーニングハート,牝5,55,田中勝春,1:12.0,ハナ,**,3-3,37.8,88.7,13,452(+6),,,,堀井雅広,吉田好雄,,201506040412,東
8,6,11,サクセスコード,牡4,55,石川裕紀,1:12.0,アタマ,**,8-7,37.3,29.0,8,494(0),,,,武藤善則,吉田晴哉,,201506040412,東
9,4,7,ハリケーンリリー,セ4,57,三浦皇成,1:12.0,ハナ,**,9-7,37.1,5.4,3,504(0),,,,中川公成,山上和良,,201506040412,東
10,1,1,カウンターハッセキ,牡4,57,大江原圭,1:12.1,クビ,**,3-3,37.8,69.9,12,456(-2),,,,大江原哲,井上一郎,,201506040412,東
11,7,13,アルノルフィーニ,牡3,55,武士沢友,1:12.1,ハナ,**,14-14,36.8,7.8,4,440(0),,,,高市圭二,ミルファーム,,201506040412,東
12,3,5,ディアポジション,牡4,57,勝浦正樹,1:12.2,3/4,**,11-11,37.0,33.7,9,470(+2),,,,新開幸一,ディアレスト,,201506040412,東
13,7,14,インペリアルブルー,牡4,57,丸山元気,1:12.8,3.1/2,**,11-11,37.7,103.7,14,460(+6),,,,松永康利,ブルーマネジメント,,201506040412,東
14,5,10,カシノキングダム,牡3,55,二本柳壮,1:13.0,3/4,**,16-15,37.3,50.3,10,448(-8),,,,二本柳俊,柏木務,,201506040412,東
15,8,16,レガリアシチー,牡5,54,野中悠太,1:13.5,3,**,10-11,38.5,240.6,15,520(-12),,,,根本康広,友駿ホースクラブ,,201506040412,東
16,4,8,クールアンジュ,牝4,55,丸田恭介,1:13.5,クビ,**,15-15,37.9,246.5,16,462(+1),,,,清水英克,オールラブクラブ,,201506040412,東
1,1,1,ワディ,牝4,55,川田将雅,1:10.4,,**,4-4,36.6,2.1,1,472(-6),,,,野中賢二,Ｈ．Ｈ．シェイク・モハメド,"1,535.7",201506040510,西
2,3,5,キョウエイハピネス,牡4,57,松岡正海,1:10.5,1/2,**,2-1,37.0,6.0,3,486(0),,,,伊藤伸一,田中晴夫,610.2,201506040510,東
3,8,15,アトランタ,牡3,55,戸崎圭太,1:10.6,クビ,**,1-2,37.2,8.7,4,520(+2),,,,古賀史生,桐谷茂,385.1,201506040510,東
4,5,10,ヒカリブランデー,牡4,57,北村宏司,1:10.6,クビ,**,8-6,36.2,33.4,8,484(0),,,,池上昌弘,ヒカリクラブ,230.0,201506040510,東
5,6,12,スズカアーサー,牡6,57,丸田恭介,1:10.7,3/4,**,14-13,35.4,152.9,15,490(-2),,,,柄崎孝,永井啓弍,150.0,201506040510,東
6,8,16,サンマディソン,牝4,55,岩部純二,1:10.8,クビ,**,11-10,36.2,37.5,10,456(-4),,,,萱野浩二,加藤信之,,201506040510,東
7,2,4,スマートレパード,セ5,57,草野太郎,1:11.0,1.1/4,**,13-13,36.1,47.9,11,494(-6),,,,杉浦宏昭,大川徹,,201506040510,東
8,5,9,シュナップス,牡5,57,吉田豊,1:11.3,2,**,7-7,37.0,22.9,7,450(-10),,,,水野貴広,藤田在子,,201506040510,東
9,4,7,シャンパンルージュ,牝5,55,柴田善臣,1:11.5,1.1/4,**,8-9,37.1,103.2,14,496(+2),,,,武藤善則,ノースヒルズ,,201506040510,東
10,3,6,オメガハイヌーン,牡3,55,岩田康誠,1:11.8,2,**,12-12,37.0,14.0,5,472(-6),,,,大和田成,原禮子,,201506040510,東
11,7,13,ラスパジャサーダス,牝3,53,内田博幸,1:11.8,ハナ,**,4-4,38.0,5.6,2,452(-2),,,,中舘英二,佐々木雄二,,201506040510,東
12,2,3,ヒカリマサムネ,牡5,57,石橋脩,1:11.9,クビ,**,2-2,38.4,20.8,6,466(-2),,,,池上昌弘,ヒカリクラブ,,201506040510,東
13,7,14,ハルズハッピー,牡5,57,江田照男,1:11.9,ハナ,**,6-8,37.8,36.8,9,500(-16),,,,小野次郎,田中昇,,201506040510,東
14,6,11,ヒカルランナー,牡6,57,長岡禎仁,1:12.0,1/2,**,16-16,35.4,79.6,13,528(+12),,,,柄崎孝,安蒜一修,,201506040510,東
15,4,8,ジョーチャーリー,牡4,57,柴田大知,1:12.1,1/2,**,15-15,36.5,49.1,12,458(+1),,,,畠山吉宏,上田けい子,,201506040510,東
16,1,2,オリアーナ,牝5,55,大野拓弥,1:13.1,6,**,8-11,38.6,226.1,16,510(+2),,,,松山将樹,ヒダカ・ブリーダーズ・ユニオン,,201506040510,東
1,7,13,キタサンブラック,牡3,56,北村宏司,2:13.8,,**,2-2-2-1,34.9,12.5,6,532(+12),,,,清水久詞,大野商事,"5,307.8",201506040511,西
2,3,4,ミュゼエイリアン,牡3,56,横山典弘,2:13.9,3/4,**,1-1-1-2,35.1,24.0,9,476(+2),,,,黒岩陽一,坂本肇,"2,130.8",201506040511,東
3,2,2,ジュンツバサ,牡3,56,石橋脩,2:13.9,アタマ,**,7-6-6-8,34.6,30.4,10,490(-4),,,,勢司和浩,河合純二,"1,315.4",201506040511,東
4,1,1,ウイングチップ,牡3,56,田中勝春,2:13.9,ハナ,**,4-3-4-3,34.8,83.0,14,492(0),,,,宗像義忠,社台レースホース,780.0,201506040511,東
5,2,3,ベルーフ,牡3,56,川田将雅,2:14.0,クビ,**,6-6-6-5,34.7,6.1,3,480(-8),,,,池江泰寿,サンデーレーシング,520.0,201506040511,西
6,6,10,タンタアレグリア,牡3,56,蛯名正義,2:14.0,クビ,**,7-8-8-5,34.6,12.2,5,472(+2),,,,国枝栄,Ｇ１レーシング,,201506040511,東
7,4,6,サトノラーゼン,牡3,56,岩田康誠,2:14.1,クビ,**,10-9-10-8,34.5,2.9,1,462(+8),,,,池江泰寿,里見治,,201506040511,西
8,5,8,レッドライジェル,牡3,56,四位洋文,2:14.1,ハナ,**,15-15-15-14,34.1,19.0,7,438(-10),,,,藤沢和雄,東京ホースレーシング,,201506040511,東
9,8,14,グリュイエール,牡3,56,戸崎圭太,2:14.1,クビ,**,9-9-10-8,34.5,49.6,12,466(-2),,,,藤原英昭,金子真人ホールディングス,,201506040511,西
10,7,12,ブライトエンブレム,牡3,56,田辺裕信,2:14.2,3/4,**,13-13-8-8,34.8,4.5,2,484(0),,,,小島茂之,シルクレーシング,,201506040511,東
11,5,9,タケルラムセス,牡3,56,吉田豊,2:14.3,3/4,**,13-13-12-12,34.5,281.1,15,466(-2),,,,田村康仁,森保彦,,201506040511,東
12,8,15,ブランドベルグ,牡3,56,松田大作,2:14.5,1.1/4,**,11-11-12-12,34.8,67.6,13,470(-2),,,,牧田和弥,グリーンファーム,,201506040511,西
13,4,7,ミュゼゴースト,牡3,56,柴田善臣,2:14.6,1/2,**,3-5-4-7,35.4,20.5,8,500(+4),,,,大江原哲,坂本肇,,201506040511,東
14,6,11,スモークフリー,牡3,56,柴山雄一,2:14.6,クビ,**,4-3-3-3,35.6,31.7,11,520(-6),,,,戸田博文,社台レースホース,,201506040511,東
15,3,5,ロッカフェスタ,牡3,56,ルメール,2:14.7,クビ,**,11-12-12-14,34.9,9.0,4,450(+2),,,,田村康仁,社台レースホース,,201506040511,東
1,7,13,マイネルイルミナル,牡5,57,柴田大知,1:49.0,,**,4-4-2-1,34.7,5.3,2,464(0),,,,高木登,サラブレッドクラブ・ラフィアン,750.0,201506040512,東
2,4,7,トミケンスラーヴァ,牡5,57,江田照男,1:49.0,クビ,**,1-1-4-4,34.4,59.9,12,498(-6),,,,竹内正洋,冨樫賢二,300.0,201506040512,東
3,1,1,ブレイクザポケット,牡3,54,蛯名正義,1:49.1,クビ,**,12-13-13-12,33.5,4.6,1,430(+4),,,,萩原清,サンデーレーシング,190.0,201506040512,東
4,2,2,ニシノオタケビ,牡3,54,田辺裕信,1:49.2,1/2,**,4-4-7-7,34.3,5.9,3,472(+6),,,,小桧山悟,西山茂行,110.0,201506040512,東
5,2,3,オンタケハート,牡4,57,田中勝春,1:49.2,アタマ,**,10-11-11-9,33.9,12.8,6,482(-6),,,,伊藤大士,宮原廣伸,75.0,201506040512,東
6,3,4,マーセラス,牡3,54,柴山雄一,1:49.3,3/4,**,4-4-7-7,34.4,14.6,7,438(-2),,,,久保田貴,サンデーレーシング,,201506040512,東
7,6,10,ダークファンタジー,牡4,57,北村宏司,1:49.4,1/2,**,4-4-6-4,34.6,6.0,4,550(-16),,,,藤沢和雄,山本英俊,,201506040512,東
8,8,15,アートフェスタ,牡4,57,内田博幸,1:49.6,1.1/4,**,10-11-11-12,34.3,16.4,8,506(-2),,,,本間忍,森山進,,201506040512,東
9,5,8,メイショウサワヤカ,牝3,52,柴田善臣,1:49.6,クビ,**,9-8-9-9,34.5,18.2,9,450(-4),,,,小島太,松本好雄,,201506040512,東
10,3,5,ムーンマジェスティ,牡3,54,吉田豊,1:49.7,1/2,**,13-14-14-14,33.9,7.0,5,416(+4),,,,尾形充弘,伊東純一,,201506040512,東
11,4,6,トーセンペンタゴン,牡3,54,嶋田純次,1:49.9,1,**,13-10-3-2,35.5,117.0,14,474(-4),,,,菅原泰夫,島川隆哉,,201506040512,東
12,6,11,ココスタイル,牡3,54,石橋脩,1:50.0,1/2,**,2-2-1-3,35.7,61.5,13,508(-8),,,,斎藤誠,林正道,,201506040512,東
13,8,14,セラフィーナ,牝3,49,伴啓太,1:50.1,1/2,**,13-15-15-15,34.0,158.7,15,420(-12),,,,田中清隆,矢野秀春,,201506040512,東
14,7,12,ナリノパシオン,牡3,54,戸崎圭太,1:50.2,1/2,**,8-8-9-9,35.1,23.2,10,482(+10),,,,上原博之,成塚清志,,201506040512,東
15,5,9,ウインセイヴィア,牡3,52,石川裕紀,1:50.5,2,**,2-2-4-4,35.8,49.2,11,460(0),,,,清水英克,ウイン,,201506040512,東
1,3,6,パワーポケット,牡3,54,三浦皇成,1:50.2,,**,1-1-1-1,36.9,5.9,4,534(+14),,,,二ノ宮敬,柳原達也,"1,534.3",201506040610,東
2,3,5,リッカルド,セ4,57,大野拓弥,1:50.4,1.1/4,**,5-4-3-2,36.7,4.5,1,494(+4),,,,黒岩陽一,岡田牧雄,609.8,201506040610,東
3,5,10,トミケンシャルゴー,牡3,54,勝浦正樹,1:51.1,4,**,2-2-2-2,37.6,22.2,9,514(0),,,,和田正一,冨樫賢二,384.9,201506040610,東
4,8,15,メイプルレインボー,牡3,54,長岡禎仁,1:51.2,1/2,**,7-7-7-5,37.3,42.4,13,490(+2),,,,高市圭二,節英司,230.0,201506040610,東
5,2,3,ゴーイングベル,牡5,57,木幡初広,1:51.3,1/2,**,3-3-3-4,37.7,5.9,3,522(+6),,,,岩元市三,田畑利彦,150.0,201506040610,西
6,1,2,ロジテール,牡6,57,松岡正海,1:51.4,3/4,**,7-8-11-10,37.3,29.4,11,472(+2),,,,新開幸一,久米田正明,,201506040610,東
7,5,9,イーデンホール,牡3,54,吉田豊,1:51.6,1.1/2,**,10-10-9-7,37.6,5.3,2,494(+10),,,,尾関知人,Ｇ１レーシング,,201506040610,東
8,4,8,アイアイエンデバー,牡6,57,田中勝春,1:51.7,1/2,**,15-15-15-13,37.0,255.2,16,464(0),,,,浅野洋一,齊藤敬,,201506040610,東
9,6,11,ロンギングエース,牡5,57,石橋脩,1:51.8,1/2,**,13-12-12-11,37.5,10.9,5,508(+2),,,,勢司和浩,坂本浩一,,201506040610,東
10,1,1,サヴァティアーノ,セ4,57,柴山雄一,1:51.9,1/2,**,5-6-7-7,38.0,17.8,8,516(+2),,,,萩原清,シルクレーシング,,201506040610,東
11,2,4,マドリードカフェ,牡4,57,吉田隼人,1:52.5,3.1/2,**,4-4-3-5,38.8,28.4,10,514(+4),,,,田村康仁,ＨｉｍＲｏｃｋＲａｃｉｎｇ,,201506040610,東
12,7,14,ショウナンカサロ,牝3,52,蛯名正義,1:52.6,1/2,**,12-12-14-15,38.1,44.8,14,444(-8),,,,古賀史生,国本哲秀,,201506040610,東
