着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
2,5,9,"
ゲマインシャフト
",牡4,57,"
松岡正海
",1:11.3,3,"

**

",16-15,35.7,9.5,5,490(-4),"

","

","



","
[東]
伊藤大士
","
丸山担
",410,201406030412
3,4,8,"
タンブルブルータス
",牡5,57,"
シュタル
",1:11.3,クビ,"

**

",8-7,37.2,6.2,3,494(-10),"

","

","



","
[東]
和田正道
","
ポリッシュホースメイト
",260,201406030412
4,5,10,"
リバティーアゲイン
",牡5,57,"
田中勝春
",1:11.4,1/2,"

**

",12-12,36.7,18.1,6,502(-2),"

","

","
","
[東]
松山将樹
","
阿部幸暉
",150,201406030412
5,7,13,"
ザストロンシチー
",牡6,57,"
柴田大知
",1:11.6,1.1/4,"

**

",4-4,38,29.8,9,494(-2),"

","

","



","
[東]
谷原義明
","
友駿ホースクラブ
",102,201406030412
6,2,3,"
スターマイン
",牡5,57,"
蛯名正義
",1:11.7,1/2,"

**

",6-6,37.7,22.2,7,474(-14),"

","

","
","
[西]
荒川義之
","
ノースヒルズ
",,201406030412
7,1,1,"
カレイファンタジア
",牡4,57,"
丸田恭介
",1:11.7,ハナ,"

**

",14-13,36.7,59.7,12,488(-10),"

","

","



","
[東]
宗像義忠
","
ディアレスト
",,201406030412
8,7,14,"
サクラシェンロン
",牡4,57,"
戸崎圭太
",1:11.7,ハナ,"

**

",9-11,37.3,7.3,4,524(-2),"

","

","
","
[東]
金成貴史
","
さくらコマース
",,201406030412
9,6,11,"
クレバーアポロ
",牡5,57,"
北村宏司
",1:11.8,クビ,"

**

",6-7,37.9,29.5,8,494(-4),"

","

","



","
[東]
小西一男
","
ウエスタンファーム
",,201406030412
10,8,16,"
ジョージジョージ
",牡4,57,"
嘉藤貴行
",1:11.8,クビ,"

**

",10-9,37.2,31.9,10,454(-2),"

","

","
","
[東]
高橋義博
","
北所直人
",,201406030412
11,1,2,"
ゴーインググレート
",牡4,57,"
柴田善臣
",1:11.9,クビ,"

**

",10-9,37.4,4.7,2,468(+2),"

","

","
","
[西]
岩元市三
","
田畑利彦
",,201406030412
12,8,15,"
クリノロッキー
",牡4,57,"
川須栄彦
",1:12.0,1/2,"

**

",12-13,37.3,250.7,16,500(-12),"

","

","
","
[東]
高橋義博
","
栗本博晴
",,201406030412
13,3,5,"
ハイタッチ
",牡5,54,"
木幡初也
",1:12.7,4,"

**

",2-2,39.6,102.6,15,502(-18),"

","

","
","
[東]
古賀史生
","
ドリームジャパンホースレーシング
",,201406030412
14,3,6,"
ガクニホシ
",牡8,54,"
伴啓太
",1:12.7,ハナ,"

**

",14-15,37.7,86.6,14,482(-10),"

","

","
","
[東]
伊藤伸一
","
矢野喜代春
",,201406030412
15,6,12,"
ウエスタンムサシ
",牡5,57,"
後藤浩輝
",1:13.1,2.1/2,"

**

",4-4,39.5,62.6,13,502(-4),"

","

","
","
[西]
崎山博樹
","
西川賢
",,201406030412
16,2,4,"
キンショーユウジャ
",牡6,57,"
丸山元気
",1:13.3,1.1/2,"

**

",1-1,40.2,35.9,11,498(-8),"

","

","
","
[東]
根本康広
","
礒野日出夫
",,201406030412
1,8,17,"
クリールカイザー
",牡5,57,"
吉田豊
",2:11.9,,"

**

",8-8-9-4,34.2,4.1,2,478(+4),"

","

","
","
[東]
相沢郁
","
横山修二
",1828.5,201406030510
2,7,14,"
グランデスバル
",牡6,57,"
杉原誠人
",2:12.4,3,"

**

",3-3-1-1,35.2,14.3,6,488(0),"

","

","
","
[東]
星野忍
","
グランデオーナーズ
",731,201406030510
3,3,6,"
レコンダイト
",牡4,57,"
蛯名正義
",2:12.4,クビ,"

**

",8-9-8-6,34.8,13.8,5,458(0),"

","

","
","
[西]
音無秀孝
","
金子真人ホールディングス
",455.5,201406030510
4,7,15,"
シャドウパーティー
",牡5,57,"
戸崎圭太
",2:12.4,アタマ,"

**

",12-13-13-13,34.4,3.1,1,496(-4),"

","

","



","
[東]
堀宣行
","
飯塚知一
",270,201406030510
5,7,13,"
ダノンフェニックス
",牡6,57,"
三浦皇成
",2:12.4,アタマ,"

**

",14-13-13-13,34.4,16.9,7,448(0),"

","

","
","
[西]
角居勝彦
","
ダノックス
",179,201406030510
6,4,7,"
トウシンモンステラ
",牡4,57,"
石橋脩
",2:12.5,3/4,"

**

",17-17-16-15,34.2,7.9,4,486(0),"

","

","
","
[西]
村山明
","
サトー
",,201406030510
7,8,16,"
ガチバトル
",牡4,57,"
田中勝春
",2:12.7,1,"

**

",10-11-11-8,34.8,22,9,462(-4),"

","

","



","
[東]
宗像義忠
","
吉田喜代司
",,201406030510
8,8,18,"
トラストワン
",牡6,57,"
田辺裕信
",2:12.8,1/2,"

**

",5-5-4-2,35.4,70.9,15,500(0),"

","

","
","
[西]
庄野靖志
","
大八木信行
",,201406030510
9,6,12,"
ダイワズーム
",牝5,55,"
後藤浩輝
",2:12.8,ハナ,"

**

",12-11-9-10,35,36.4,10,470(0),"

","

","
","
[東]
鹿戸雄一
","
大城敬三
",,201406030510
10,4,8,"
メイショウドンタク
",牡8,57,"
横山典弘
",2:12.8,クビ,"

**

",16-16-16-15,34.6,44.4,11,496(-12),"

","

","
","
[西]
本田優
","
松本好雄
",,201406030510
11,2,4,"
メイショウタマカゼ
",牡5,57,"
大野拓弥
",2:12.9,1/2,"

**

",6-5-5-8,35.4,18.7,8,436(-12),"

","

","
","
[西]
荒川義之
","
松本好雄
",,201406030510
12,3,5,"
コウヨウレジェンド
",セ6,57,"
北村宏司
",2:13.0,1/2,"

**

",6-5-5-4,35.5,125.7,16,486(-6),"

","

","
","
[東]
古賀慎明
","
寺内正光
",,201406030510
13,2,3,"
リメインサイレント
",牝4,55,"
藤岡康太
",2:13.0,ハナ,"

**

",2-2-2-2,35.8,7.4,3,486(-6),"

","

","
","
[西]
田中章博
","
社台レースホース
",,201406030510
14,5,10,"
モビール
",牡6,57,"
川島信二
",2:13.0,クビ,"

**

",10-9-11-10,35.1,50.7,12,470(+2),"

","

","
","
[東]
武市康男
","
吉田照哉
",,201406030510
15,6,11,"
マイネルマーク
",牡6,57,"
柴田大知
",2:13.1,クビ,"

**

",14-13-15-15,35,61.7,14,462(-4),"

","

","
","
[東]
国枝栄
","
サラブレッドクラブ・ラフィアン
",,201406030510
16,5,9,"
シンボリボルドー
",牡7,57,"
藤岡佑介
",2:13.6,3,"

**

",18-18-18-18,35.2,586.1,18,472(-6),"

","

","
","
[東]
石毛善彦
","
シンボリ牧場
",,201406030510
17,1,1,"
ニシノジャブラニ
",牡6,57,"
横山和生
",2:13.8,1.1/4,"

**

",1-1-2-6,36.6,169.6,17,486(-6),"

","

","
","
[東]
上原博之
","
西山茂行
",,201406030510
18,1,2,"
ロジサンデー
",牡5,57,"
松岡正海
",2:14.0,1.1/2,"

**

",3-3-5-10,36.5,58.8,13,470(-8),"

","

","



","
[東]
古賀慎明
","
久米田正明
",,201406030510
1,7,12,"
ショウナンアチーヴ
",牡3,56,"
後藤浩輝
",1:33.3,,"

**

",12-11-8,34.5,3.1,1,470(-10),"

","

","



","
[東]
国枝栄
","
国本哲秀
",5310.6,201406030511
2,5,9,"
ショウナンワダチ
",牡3,56,"
北村宏司
",1:33.3,ハナ,"

**

",10-7-7,34.8,8,4,476(0),"

","

","



","
[東]
大竹正博
","
国本哲秀
",2131.6,201406030511
3,8,15,"
ベルルミエール
",牝3,54,"
川島信二
",1:33.5,1.1/4,"

**

",2-3-3,35.4,14.3,8,450(+2),"

","

","
","
[西]
高橋亮
","
佐々木政充
",1315.8,201406030511
4,3,5,"
アルマエルナト
",牡3,56,"
藤岡佑介
",1:33.8,1.3/4,"

**

",14-15-15,34.5,11.6,6,464(+2),"

","

","



","
[東]
伊藤大士
","
コウトミックレーシング
",780,201406030511
5,6,11,"
ウインフェニックス
",牡3,56,"
石橋脩
",1:33.9,3/4,"

**

",4-4-3,35.7,8.6,5,450(+4),"

","

","
","
[東]
奥平雅士
","
ウイン
",520,201406030511
6,2,2,"
イタリアンネオ
",牡3,56,"
田中勝春
",1:33.9,クビ,"

**

",13-13-10,35,20.5,10,522(-4),"

","

","
","
[東]
斎藤誠
","
平井裕
",,201406030511
7,6,10,"
マイネルディアベル
",牡3,56,"
柴田大知
",1:34.0,1/2,"

**

",4-6-3,35.6,12.5,7,442(-6),"

","

","
","
[東]
大和田成
","
サラブレッドクラブ・ラフィアン
",,201406030511
8,8,14,"
カラダレジェンド
",牡3,56,"
田辺裕信
",1:34.4,2.1/2,"

**

",8-11-10,35.6,7.7,3,470(+4),"

","

","
","
[東]
尾形和幸
","
子安裕樹
",,201406030511
9,4,6,"
キタサンラブコール
",牡3,56,"
横山典弘
",1:34.7,2,"

**

",14-13-14,35.7,72.2,13,454(-2),"

","

","



","
[西]
昆貢
","
大野商事
",,201406030511
10,3,4,"
イダス
",牡3,56,"
戸崎圭太
",1:34.9,3/4,"

**

",2-2-1,37.2,6.1,2,474(-2),"

","

","
","
[西]
鈴木孝志
","
杉澤光雄
",,201406030511
11,5,8,"
メイショウコルノ
",牡3,56,"
松岡正海
",1:35.1,1.1/4,"

**

",4-4-3,36.9,68.5,12,526(-6),"

","

","
","
[西]
河内洋
","
松本好雄
",,201406030511
12,4,7,"
ケルヴィンサイド
",牡3,56,"
藤岡康太
",1:35.3,1.1/2,"

**

",10-9-8,36.7,85.7,14,520(-6),"

","

","
","
[西]
藤岡健一
","
Ｈ．Ｈ．シェイク・モハメド
",,201406030511
13,1,1,"
パワースラッガー
",牡3,56,"
江田照男
",1:35.5,1.1/4,"

**

",1-1-2,37.9,18.4,9,480(+4),"

","

","
","
[東]
菊川正達
","
丸岡啓一
",,201406030511
14,7,13,"
モリトビャクミ
",牡3,56,"
吉田豊
",1:35.7,1.1/2,"

**

",4-9-10,37.1,98,15,480(+2),"

","

","
","
[東]
水野貴広
","
石橋忠之
",,201406030511
15,2,3,"
クインズハリジャン
",牡3,56,"
藤田伸二
",1:36.7,6,"

**

",8-7-10,38.2,66.9,11,480(-4),"

","

","
","
[西]
白井寿昭
","
クイーンズ・ランチ
",,201406030511
1,1,1,"
スズカカイゼル
",牡4,57,"
後藤浩輝
",2:36.8,,"

**

",2-3-4-4,38,33,10,466(+4),"

","

","
","
[西]
高橋康之
","
永井啓弍
",1020,201406030512
2,1,2,"
メイショウシャイン
",牡7,57,"
田中博康
",2:36.8,クビ,"

**

",6-7-8-6,37.7,25.6,8,470(+2),"

","

","
","
[西]
中内田充
","
松本好雄
",410,201406030512
3,5,9,"
リーゼントブルース
",牡5,57,"
松岡正海
",2:37.0,1,"

**

",1-1-1-1,38.6,3.5,2,478(+2),"

","

","
","
[西]
矢作芳人
","
三浦大輔
",260,201406030512
4,3,6,"
アルディエス
",牡5,57,"
西田雄一
",2:37.2,1.1/2,"

**

",13-14-14-12,37.6,3,1,456(+4),"

","

","
","
[西]
松永幹夫
","
Ｇ１レーシング
",150,201406030512
5,8,15,"
テンゲントッパ
",牡6,57,"
武士沢友
",2:37.2,ハナ,"

**

",15-15-16-15,37.2,184.7,15,456(+4),"

","

","
","
[東]
岩戸孝樹
","
石橋松蔵
",102,201406030512
6,7,13,"
ヴィルトグラーフ
",セ4,57,"
横山和生
",2:37.2,アタマ,"

**

",2-2-2-2,38.7,81.3,14,520(-6),"

","

","
","
[東]
牧光二
","
シルク
",,201406030512
7,7,14,"
マイネルボンド
",牡5,57,"
三浦皇成
",2:37.4,3/4,"

**

",4-3-2-3,38.9,21.8,7,512(+2),"

","

","
","
[東]
畠山重則
","
サラブレッドクラブ・ラフィアン
",,201406030512
8,2,4,"
チャンピオンブルー
",牡6,57,"
戸崎圭太
",2:37.6,1.1/4,"

**

",9-9-8-9,38.5,4.9,3,484(+2),"

","

","
","
[西]
森秀行
","
ブルーマネジメント
",,201406030512
9,4,8,"
ポルスターシャイン
",牡4,57,"
藤岡康太
",2:37.6,クビ,"

**

",8-7-6-6,38.7,56.8,12,478(-4),"

","

","
","
[東]
根本康広
","
平賀久枝
",,201406030512
10,4,7,"
マイネルティンラン
",牡6,57,"
柴田大知
",2:37.8,3/4,"

**

",16-16-15-15,38,32.3,9,472(+8),"

","

","
","
[東]
堀井雅広
","
サラブレッドクラブ・ラフィアン
",,201406030512
11,6,11,"
オリオンザスター
",牡4,57,"
北村宏司
",2:37.8,クビ,"

**

",6-5-4-4,39.1,15.3,5,498(-10),"

","

","
","
[東]
小西一男
","
平本敏夫
",,201406030512
12,6,12,"
ニシノゲイナー
",牡6,57,"
田辺裕信
",2:38.1,1.3/4,"

**

",11-11-11-9,38.9,17.4,6,460(0),"

","

","
","
[東]
武藤善則
","
西山茂行
",,201406030512
13,8,16,"
コパノウィリアム
",牡5,57,"
大野拓弥
",2:38.2,クビ,"

**

",11-11-11-12,39,12,4,478(0),"

","

","
","
[東]
尾形充弘
","
小林祥晃
",,201406030512
14,2,3,"
ヴェイロン
",牡6,57,"
吉田豊
",2:38.4,1.1/2,"

**

",13-11-13-12,39,72.3,13,470(-16),"

","

","



","
[西]
吉村圭司
","
前田幸治
",,201406030512
15,3,5,"
ナンヨースラッガー
",牡7,54,"
井上敏樹
",2:38.7,2,"

**

",4-5-8-11,39.7,339.6,16,496(+8),"

","

","
","
[西]
山内研二
","
中村徳也
",,201406030512
16,5,10,"
テラノコブラ
",牡6,57,"
江田照男
",2:39.1,2.1/2,"

**

",9-9-6-6,40.2,36.5,11,482(-14),"

","

","
","
[東]
加藤征弘
","
寺田寿男
",,201406030512
1,6,8,"
メイショウインロウ
",牡5,55,"
横山典弘
",1:34.9,,"

**

",2-2-2,34.1,12.5,7,524(+4),"

","

","
","
[西]
高橋亮
","
松本好雄
",1510.1,201406030610
2,8,12,"
サクラディソール
",牝4,54,"
北村宏司
",1:35.0,1/2,"

**

",3-4-3,33.9,4.2,2,424(-6),"

","

","
","
[東]
尾関知人
","
さくらコマース
",598.6,201406030610
3,5,6,"
ダイワブレイディ
",牡4,56,"
後藤浩輝
",1:35.1,1/2,"

**

",3-2-4,34.2,4.7,3,512(+2),"

","

","
","
[東]
菊沢隆徳
","
大城敬三
",374.3,201406030610
4,6,9,"
ショウナンラムジ
",牡5,56,"
松岡正海
",1:35.1,ハナ,"

**

",10-9-9,33.4,28.7,9,504(+2),"

","

","
","
[西]
矢作芳人
","
国本哲秀
",220,201406030610
5,7,10,"
コスモミレネール
",牝5,54,"
柴田大知
",1:35.2,1/2,"

**

",1-1-1,34.6,9.3,5,452(-2),"

","

","
","
[東]
高橋義博
","
ビッグレッドファーム
",148,201406030610
6,4,5,"
ゴールドカルラ
",牝6,54,"
大野拓弥
",1:35.3,3/4,"

**

",5-4-4,34.2,4.1,1,524(+2),"

","

","
","
[東]
高木登
","
磯波勇
",,201406030610
7,8,13,"
クリノチョモランマ
",牡4,55,"
吉田豊
",1:35.3,アタマ,"

**

",8-8-6,33.9,6.8,4,514(-2),"

","

","



","
[東]
高市圭二
","
栗本博晴
",,201406030610
8,3,3,"
タケルハヤテ
",牡6,54,"
武士沢友
",1:35.5,1.1/4,"

**

",5-6-6,34.2,21.7,8,466(0),"

","

","
","
[東]
池上昌弘
","
森保彦
",,201406030610
9,2,2,"
カグニザント
",セ6,56,"
内田博幸
",1:35.5,クビ,"

**

",11-11-11,33.6,10.1,6,468(0),"

","

","
","
[東]
国枝栄
","
社台レースホース
",,201406030610
10,5,7,"
プロスペラスマム
",牝7,50,"
原田和真
",1:35.6,1/2,"

**

",9-9-9,34,181.1,13,530(-4),"

","

","



","
[東]
小桧山悟
","
本杉芳郎
",,201406030610
11,1,1,"
デプロマトウショウ
",牝5,52,"
井上敏樹
",1:35.8,1.1/4,"

**

",5-6-8,34.5,114.4,12,456(0),"

","

","
","
[東]
高木登
","
トウショウ産業
",,201406030610
12,4,4,"
ブリージーデイズ
",牡7,53,"
岡田祥嗣
",1:36.2,2.1/2,"

**

",11-13-11,34.1,62.9,11,500(0),"

","

","



","
[東]
小島茂之
","
グリーンファーム
",,201406030610
13,7,11,"
キングロンシャープ
",牡6,55,"
田中勝春
",1:37.7,9,"

**

",13-11-13,35.8,53.3,10,478(-4),"

","

","



","
[東]
中川公成
","
小林久義
",,201406030610
1,6,10,"
アフォード
",牡6,56,"
中舘英二
",1:07.9,,"

**

",12-12,33.4,5.4,2,462(0),"

","

","
","
[西]
北出成人
","
前田幸治
",2141.3,201406030611
2,7,12,"
スギノエンデバー
",牡6,58,"
後藤浩輝
",1:07.9,アタマ,"

**

",6-6,33.8,13,6,466(+2),"

","

","
","
[西]
浅見秀一
","
杉山忠国
",851.8,201406030611
3,6,11,"
プレイズエターナル
",牡4,56,"
横山典弘
",1:08.0,クビ,"

**

",4-5,34.1,3.1,1,478(-6),"

","

","
","
[西]
安田隆行
","
Ｈ．Ｈ．シェイク・モハメド
",535.9,201406030611
4,2,2,"
ハノハノ
",牡6,57,"
内田博幸
",1:08.0,クビ,"

**

",2-2,34.5,18.1,8,468(-2),"

","

","
","
[西]
西園正都
","
錦岡牧場
",320,201406030611
5,8,15,"
ワキノブレイブ
",牡4,56,"
吉田豊
",1:08.1,クビ,"

**

",10-10,33.8,8.4,4,484(+4),"

","

","
","
[西]
清水久詞
","
脇山良之
",210,201406030611
6,5,9,"
サイレントソニック
",牝6,54,"
北村宏司
",1:08.2,3/4,"

**

",13-12,33.5,14.8,7,458(0),"

","

","



","
[東]
国枝栄
","
細谷典幸
",,201406030611
7,1,1,"
ツインクルスター
",牝5,54,"
江田照男
",1:08.3,1/2,"

**

",1-1,35.2,6.2,3,498(+4),"

","

","
","
[東]
牧光二
","
岡田牧雄
",,201406030611
8,4,7,"
ニンジャ
",牡5,56,"
鮫島良太
",1:08.4,1/2,"

**

",4-3,34.5,20.7,9,470(-2),"

","

","
","
[西]
宮徹
","
ロイヤルパーク
",,201406030611
9,7,13,"
ヘニーハウンド
",牡6,55,"
石橋脩
",1:08.5,3/4,"

**

",14-14,33.5,36.3,11,504(+2),"

","

","



","
[西]
矢作芳人
","
林正道
",,201406030611
10,3,5,"
ミヤジエムジェイ
",牡6,56,"
武士沢友
",1:08.6,クビ,"

**

",6-6,34.5,36.2,10,508(+2),"

","

","



","
[西]
岩元市三
","
曽我司
",,201406030611
11,3,4,"
サクラアドニス
",牡6,57,"
柴田大知
",1:08.7,1/2,"

**

",11-10,34.3,64.8,13,470(0),"

","

","



","
[西]
村山明
","
さくらコマース
",,201406030611
12,8,14,"
レオンビスティー
",牡5,56,"
松岡正海
",1:08.7,クビ,"

**

",6-6,34.6,9,5,498(0),"

","

","
","
[西]
矢作芳人
","
備前島敏子
",,201406030611
13,2,3,"
ラインブラッド
",牡8,57,"
田中勝春
",1:08.8,1/2,"

**

",14-14,33.8,174.1,15,510(0),"

","

","
","
[東]
水野貴広
","
大澤繁昌
",,201406030611
14,4,6,"
メモリアルイヤー
",牝6,54,"
大野拓弥
",1:08.9,1/2,"

**

",3-3,35.2,49.2,12,484(-12),"

","

","
","
[西]
村山明
","
西村新一郎
",,201406030611
15,5,8,"
アウトクラトール
",牡9,57,"
伊藤工真
",1:08.9,ハナ,"

**

",6-6,34.8,84.1,14,482(0),"

","

","
","
[西]
宮徹
","
社台レースホース
",,201406030611
1,4,8,"
スズヨストラ
",牡4,57,"
北村宏司
",1:11.6,,"

**

",7-6,36.4,11.6,5,464(-10),"

","

","
","
[東]
松永康利
","
鈴木与四郎
",1020,201406030612
2,7,14,"
ヤマニンブルジョン
",牡4,57,"
石橋脩
",1:11.8,1.1/4,"

**

",7-10,36.6,87.4,13,478(+4),"

","

","
","
[西]
浅見秀一
","
土井肇
",410,201406030612
3,5,9,"
ヴィクタシア
",牝5,55,"
横山典弘
",1:11.8,ハナ,"

**

",6-7,36.9,4.2,2,516(+2),"

","

","
","
[西]
千田輝彦
","
前原敏行
",260,201406030612
4,6,11,"
クールヴェント
",牡6,57,"
大野拓弥
",1:11.8,ハナ,"

**

",15-15,35.9,24,10,512(-10),"

","

","



","
[東]
久保田貴
","
櫻井盛夫
",150,201406030612
5,5,10,"
テムジン
",牡5,57,"
吉田豊
",1:11.8,クビ,"

**

",10-7,36.4,14.1,7,486(-2),"

","

","
","
[東]
田島俊明
","
熊谷貴之
",102,201406030612
6,8,15,"
ドナリサ
",牝6,52,"
井上敏樹
",1:12.0,1.1/4,"

**

",10-13,36.6,31.4,11,472(-4),"

","

","
","
[東]
高木登
","
山田貢一
",,201406030612
7,3,6,"
ディアイレイザー
",牡5,57,"
松岡正海
",1:12.0,ハナ,"

**

",3-3,37.4,22.9,8,490(0),"

","

","



","
[東]
高橋裕
","
ディアレスト
",,201406030612
8,4,7,"
ウインプロスパー
",牡4,57,"
柴田大知
",1:12.1,1/2,"

**

",4-3,37.3,7.3,3,524(+4),"

","

","



","
[東]
高橋祥泰
","
ウイン
",,201406030612
9,6,12,"
ジェイケイホーム
",牡4,57,"
武士沢友
",1:12.2,1/2,"

**

",7-7,37,41.3,12,470(-4),"

","

","



","
[東]
田中剛
","
小谷野次郎
",,201406030612
10,1,2,"
ブロックコード
",牡6,57,"
伊藤工真
",1:12.3,1/2,"

**

",16-15,36.2,176.5,15,486(+6),"

","

","



","
[東]
宗像義忠
","
ターフ・スポート
",,201406030612
11,8,16,"
ジョバイロ
",牡4,57,"
江田照男
",1:12.3,ハナ,"

**

",10-13,36.9,12.4,6,482(0),"

","

","
","
[東]
高木登
","
岡田牧雄
",,201406030612
12,3,5,"
トレノソルーテ
",セ8,57,"
梶晃啓
",1:12.4,1/2,"

**

",10-10,37,137,14,522(-8),"

","

","
","
[東]
田村康仁
","
戸賀智子
",,201406030612
13,2,4,"
エーシングリズリー
",牡5,57,"
後藤浩輝
",1:12.6,1.1/4,"

**

",2-2,38.1,9.7,4,472(-2),"

","

","



","
[西]
川村禎彦
","
栄進堂
",,201406030612
14,7,13,"
ドラゴンフラッシュ
",牡5,54,"
原田和真
",1:13.0,2.1/2,"

**

",10-12,37.6,233,16,514(-8),"

","

","
","
[東]
栗田徹
","
窪田芳郎
",,201406030612
15,1,1,"
ピュアアイズ
",牝4,55,"
田中勝春
",1:13.2,1,"

**

",1-1,38.8,3.1,1,486(-4),"

","

","
","
[東]
松永康利
","
山際牧場
",,201406030612
16,2,3,"
フォースフル
",牡5,57,"
中舘英二
",1:13.3,1/2,"

**

",4-3,38.5,22.9,9,492(-14),"

","

","



","
[東]
畠山吉宏
","
Ｂａｓｉｃ
",,201406030612
1,1,2,"
ヒラボクマジック
",牡6,57,"
田辺裕信
",1:53.4,,"

**

",7-6-6-4,37.6,4.4,2,504(-2),"

","

","
","
[東]
大竹正博
","
平田牧場
",1825.7,201406030710
2,2,3,"
ヴァンガード
",牡5,57,"
戸崎圭太
",1:53.4,ハナ,"

**

",10-9-8-6,37.4,6,4,508(0),"

","

","
","
[東]
高柳瑞樹
","
Ｈ．Ｈ．シェイク・モハメド
",730.2,201406030710
3,6,11,"
アントニオピサ
",牡5,57,"
江田照男
",1:53.5,1/2,"

**

",1-1-1-1,38.4,38.6,10,498(0),"

","

","
","
[西]
角田晃一
","
市川義美
",455.1,201406030710
4,8,15,"
タナトス
",牡6,57,"
柴田善臣
",1:54.0,3,"

**

",3-3-3-4,38.6,10.4,5,456(-4),"

","

","
","
[西]
森秀行
","
榮義則
",270,201406030710
5,2,4,"
キタサンイナズマ
",牡4,57,"
横山典弘
",1:54.1,1/2,"

**

",3-3-3-2,38.6,3.7,1,504(+2),"

","

","
","
[西]
昆貢
","
大野商事
",179,201406030710
6,3,5,"
セイカフォルテ
",牡6,57,"
石橋脩
",1:54.4,1.3/4,"

**

",15-15-15-11,37.8,86.4,11,450(-2),"

","

","
","
[東]
相沢郁
","
久米大
",,201406030710
7,4,8,"
キープインタッチ
",牡4,57,"
後藤浩輝
",1:54.6,1.1/4,"

**

",7-9-10-10,38.5,4.9,3,498(+2),"

","

","



","
[東]
古賀慎明
","
村野康司
",,201406030710
8,7,13,"
コスモイーチタイム
",牡6,57,"
柴田大知
",1:54.6,ハナ,"

**

",10-12-13-11,38.2,199,14,452(-4),"

","

","
","
[東]
黒岩陽一
","
ビッグレッドファーム
",,201406030710
9,5,10,"
リキサンステルス
",牡4,57,"
北村宏司
",1:54.7,クビ,"

**

",13-13-13-15,38.3,18.4,8,482(+8),"

","

","



","
[東]
奥平雅士
","
ハイパワー商事
",,201406030710
10,1,1,"
ドラゴンフォルテ
",牡5,57,"
三浦皇成
",1:54.8,1/2,"

**

",12-11-10-8,38.6,17.2,7,482(+4),"

","

","
","
[東]
戸田博文
","
窪田芳郎
",,201406030710
11,7,14,"
スターバリオン
",牡5,57,"
藤懸貴志
",1:54.9,3/4,"

**

",16-15-16-16,38.2,18.9,9,502(0),"

","

","
","
[西]
藤岡健一
","
幅田昌伸
",,201406030710
12,5,9,"
アルムダプタ
",牡4,57,"
井上敏樹
",1:55.6,4,"

**

",7-8-8-11,39.6,338.7,16,496(-10),"

","

","
","
[西]
五十嵐忠
","
崎川美枝子
",,201406030710
13,3,6,"
レックスパレード
",牡6,57,"
松岡正海
",1:56.2,3.1/2,"

**

",5-6-5-7,40.5,221,15,542(+24),"

","

","
","
[西]
矢作芳人
","
キャロットファーム
",,201406030710
14,6,12,"
ヒメサクラ
",牝4,55,"
武士沢友
",1:56.4,1,"

**

",2-2-2-2,41.1,119.5,13,450(+6),"

","

","
","
[東]
柴田政人
","
岡田勇
",,201406030710
15,4,7,"
ミッキーナチュラル
",牡5,57,"
蛯名正義
",1:56.7,2,"

**

",13-13-10-8,40.5,89.8,12,504(+6),"

","

","
","
[東]
萩原清
","
野田みづき
",,201406030710
16,8,16,"
プラントハンター
",牡4,57,"
内田博幸
",1:58.0,8,"

**

",5-5-6-11,42.2,16.6,6,458(-4),"

","

","
","
[東]
水野貴広
","
吉田照哉
",,201406030710
1,5,5,"
アポロマーベリック
",牡5,63,"
五十嵐雄
",4:50.7,,"
",1-1-1-1,13.7,1.4,1,524(+2),"

","

","
","
[東]
堀井雅広
","
アポロサラブレッドクラブ
",6535.7,201406030711
2,6,6,"
コスモソユーズ
",牡6,63,"
山本康志
",4:51.5,5,"
",3-3-5-3,13.7,47.2,8,492(0),"

","

","
","
[東]
田中剛
","
ビッグレッドファーム
",2610.2,201406030711
3,4,4,"
メイショウブシドウ
",牡5,63,"
高田潤
",4:51.5,クビ,"
",5-5-4-3,13.7,7,3,458(+6),"

","

","
","
[西]
角居勝彦
","
松本好雄
",1605.1,201406030711
4,8,10,"
シャイニーブラック
",セ7,63,"
浜野谷憲
",4:51.8,1.3/4,"
",7-6-7-5,13.7,32.1,5,460(-2),"

","

","
","
[東]
伊藤伸一
","
小林昌志
",980,201406030711
5,3,3,"
サンレイデューク
",牡6,63,"
難波剛健
",4:51.9,3/4,"
",6-6-6-6,13.7,41.6,6,462(-2),"

","

","
","
[西]
高橋義忠
","
永井啓弍
",650,201406030711
6,7,7,"
オースミムーン
",牡5,63,"
中村将之
",4:52.8,5,"
",2-2-2-2,13.8,5.2,2,464(-14),"

","

","
","
[西]
小野幸治
","
オースミ
",,201406030711
7,2,2,"
セイエイ
",牡6,63,"
高野和馬
",4:52.9,3/4,"
",8-9-8-8,13.8,46.7,7,522(+4),"

","

","
","
[東]
小桧山悟
","
江川伸夫
",,201406030711
8,7,8,"
アドマイヤトライ
",牡5,63,"
西谷誠
",4:54.8,大,"
",4-3-3-7,13.9,19.1,4,464(-14),"

","

","
","
[西]
橋田満
","
近藤利一
",,201406030711
